Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2022-07-02,Pestivirus scrofae,Sus scrofa,,2021-02-05
2022-06-27,Dermacentor reticulatus pestivirus-like virus 1,,,2012-06-01
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-16,Pangolin pestivirus,Pholidota,,2018
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-08
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-08
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-09
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-09
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-12
2022-06-08,Pestivirus suis,Sus scrofa,,2000-08-12
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-04
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-05
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-06
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-10
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-10
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-12
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-13
2022-06-08,Pestivirus suis,Sus scrofa,,2000-09-17
2022-06-08,Pestivirus suis,Sus scrofa,,2000-11-03
2022-06-02,Pestivirus suis,Sus scrofa,,2019
2022-05-31,Pestivirus P182T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P110T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P121T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P142T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P179T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P101T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P105T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P170T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P188T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P196T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P212T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P214T/pangolin/2018,Pholidota,,2018
2022-05-31,Pestivirus P232T/pangolin/2018,Pholidota,,2018
2022-05-02,Pestivirus scrofae,Sus scrofa,,2020-11-11
2022-05-02,Pestivirus scrofae,Sus scrofa,,2021-02-06
2022-04-13,Jingmen Crocidura shantungensis pestivirus 1,Crocidura shantungensis,,2016
2022-04-13,Wenzhou Pipistrellus abramus pestivirus 1,Pipistrellus abramus,,2016
2022-03-09,Pangolin pestivirus 1,Manis pentadactyla,,2020
2022-03-09,Pangolin pestivirus 2,Manis javanica,,2017
2022-03-09,Pangolin pestivirus 3,Manis javanica,,2019
2022-03-09,Pangolin pestivirus 3,Manis javanica,,2019
2022-03-09,Pangolin pestivirus 4,Manis javanica,,2019
2022-03-09,Pangolin pestivirus 4,Manis javanica,,2019
2022-03-09,Bamboo rat pestivirus,Rhizomys pruinosus,,2020
2022-03-07,Pestivirus bovis,Bos taurus,,2020-04-24
2022-03-01,Bamboo rat pestivirus,Rhizomys pruinosus,,2020
2022-03-01,Pangolin pestivirus 1,Manis pentadactyla,,2019
2022-02-12,Zikole virus,Bos taurus,blood,2018-12-18
2022-02-07,Pestivirus M,Phocoena phocoena,,2011
2022-01-31,Kioloa rodent pestivirus,Rattus fuscipes,,2020-10-15
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-12-20,Pestivirus suis,Sus scrofa,,2018
2021-11-22,Pestivirus bovis,,,
2021-11-08,Pestivirus bovis,,,2014
2021-11-08,Pestivirus bovis,,blood,2005
2021-11-08,Pestivirus bovis,,,2011
2021-11-08,Pestivirus bovis,,,2006
2021-11-08,Pestivirus bovis,,fetus,2009
2021-11-08,Pestivirus bovis,,fetus,2009
2021-11-08,Pestivirus bovis,,,2009
2021-11-08,Pestivirus bovis,,,2005
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,,2008
2021-11-08,Pestivirus bovis,,blood,2004
2021-11-08,Pestivirus bovis,,blood,2004
2021-11-08,Pestivirus bovis,,blood,1995
2021-11-08,Pestivirus bovis,,blood,1995
2021-11-08,Pestivirus bovis,,blood,1990
2021-11-08,Pestivirus bovis,,blood,1996
2021-11-08,Pestivirus bovis,,blood,2003
2021-11-08,Pestivirus bovis,,mammalian milk,2002
2021-11-08,Pestivirus bovis,,,2007
2021-11-08,Pestivirus bovis,,,2017
2021-11-08,Pestivirus bovis,,,2015
2021-11-08,Pestivirus bovis,,"spleen, abdominal cavity",1993
2021-10-06,Pestivirus tauri,Bos taurus,,2018-08-10
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2018-11-16
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2018-12-04
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2018-12-09
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2018-12-15
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2018-12-24
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-01-28
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-01-29
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-13
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-02-19
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-07
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-23
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-27
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-28
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-29
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-29
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-03-29
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-04-09
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-04-10
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-04-17
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-04-21
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-04-22
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-05-17
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-05-25
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-06-05
2021-09-03,Pestivirus suis,Sus scrofa,,2018-09-28
2021-09-03,Pestivirus suis,Sus scrofa,,2018-09-29
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-03
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-04
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-06
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-08
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-13
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-14
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-14
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-14
2021-09-03,Pestivirus suis,Sus scrofa,,2018-10-31
2021-09-03,Pestivirus suis,Sus scrofa,,2018-11-26
2021-09-03,Pestivirus suis,Sus scrofa,,2018-11-28
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-15
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-16
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-21
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-21
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-21
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-21
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-18
2021-09-03,Pestivirus suis,Sus scrofa,,2018-12-20
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-17
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-17
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-06-12
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-06-13
2021-09-03,Pestivirus suis,Sus scrofa,,2019-06-25
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-06-28
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-02
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-07
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-26
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-08-09
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-08-09
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-22
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-22
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-24
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-25
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-25
2021-09-03,Pestivirus suis,Sus scrofa,,2019-01-30
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-05
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-05
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-06
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-07
2021-09-03,Pestivirus suis,Sus scrofa,,2019-07-28
2021-09-03,Pestivirus suis,Sus scrofa,,2019-07-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-07-05
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-07
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-08
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-28
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-08-11
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-08-16
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-08-30
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-09
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-12
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-12
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-16
2021-09-03,Pestivirus suis,Sus scrofa,,2019-09-13
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-13
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-13
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-24
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-09-27
2021-09-03,Pestivirus suis,Sus scrofa,,2019-10-03
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-10-11
2021-09-03,Pestivirus suis,Sus scrofa,,2019-10-18
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-11-05
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-07-23
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-11-08
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-11-14
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-11-18
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-20
2021-09-03,Pestivirus suis,Sus scrofa,,2019-10-01
2021-09-03,Pestivirus suis,Sus scrofa,,2019-10-21
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-07
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2019-12-17
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-01-06
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-01-08
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-01-11
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-01-10
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-01-15
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-13
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-14
2021-09-03,Pestivirus suis,Sus scrofa,,2019-02-14
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-02-02
2021-09-03,Pestivirus suis,Sus scrofa,,2019-03-31
2021-09-03,Pestivirus suis,Sus scrofa,,2019-08-29
2021-09-03,Pestivirus suis,Sus scrofa,,2019-08-29
2021-09-03,Pestivirus suis,Sus scrofa,,2019-09-04
2021-09-03,Pestivirus suis,Sus scrofa,,2019-09-17
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-11
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-12
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-14
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-20
2021-09-03,Pestivirus suis,Sus scrofa domesticus,,2020-02-25
2021-09-03,Pestivirus suis,Sus scrofa,,2019-11-23
